transcript_id,13_S31_R1_001.bam.gtf,23_S32_R1_001.bam.gtf,35_S33_R1_001.bam.gtf,52_S34_R1_001.bam.gtf,60_S35_R1_001.bam.gtf,72_S36_R1_001.bam.gtf,85_S37_R1_001.bam.gtf,9_S30_R1_001.bam.gtf
Montipora_capitata_HIv3___RNAseq.g16987.t1,0,0,0,7,7,7,14,0
Montipora_capitata_HIv3___RNAseq.g8315.t1,0,0,5,0,3,3,2,0
Montipora_capitata_HIv3___TS.g13636.t1,190,681,271,149,89,89,91,414
Montipora_capitata_HIv3___RNAseq.g14958.t1,0,3,1,2,14,2,3,0
Montipora_capitata_HIv3___RNAseq.g29907.t1,0,0,0,10,12,6,5,0
Montipora_capitata_HIv3___RNAseq.g49717.t1,15,12,0,20,48,38,21,21
Montipora_capitata_HIv3___RNAseq.g41130.t1,251,343,117,324,441,404,591,382
Montipora_capitata_HIv3___RNAseq.g17511.t1,0,0,0,8,19,35,15,0
Montipora_capitata_HIv3___RNAseq.g37838.t1,0,0,3,3,4,7,8,0
Montipora_capitata_HIv3___RNAseq.g37742.t1,0,11,0,14,0,8,0,0
Montipora_capitata_HIv3___RNAseq.g21481.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g33896.t1,0,0,0,6,0,11,0,0
Montipora_capitata_HIv3___TS.g38477.t1,0,0,0,9,10,5,8,0
Montipora_capitata_HIv3___RNAseq.g42322.t1,336,509,235,201,168,246,245,517
Montipora_capitata_HIv3___RNAseq.g24616.t1,1405,4679,3074,6261,5594,3050,2046,3413
Montipora_capitata_HIv3___RNAseq.g47851.t1,0,0,0,0,4,3,4,0
Montipora_capitata_HIv3___TS.g25623.t1,0,0,0,0,0,2,0,0
Montipora_capitata_HIv3___RNAseq.g15613.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g2706.t1,0,0,2,15,0,5,4,0
Montipora_capitata_HIv3___RNAseq.g18415.t1,0,128,62,93,112,104,50,1
Montipora_capitata_HIv3___RNAseq.g31658.t1,0,0,0,11,0,0,7,0
Montipora_capitata_HIv3___RNAseq.g37405.t1,0,0,3,0,13,0,7,0
Montipora_capitata_HIv3___RNAseq.g41132.t1,5,17,5,32,54,143,272,3
Montipora_capitata_HIv3___RNAseq.g17513.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g5462.t1,560,1569,3554,10278,12374,4172,3007,1005
Montipora_capitata_HIv3___RNAseq.g23642.t1,0,1,3,30,26,27,1,5
Montipora_capitata_HIv3___RNAseq.g13826.t1,294,601,1278,10089,13151,12862,5566,907
Montipora_capitata_HIv3___TS.g17070.t1,0,0,0,0,2,0,4,0
Montipora_capitata_HIv3___RNAseq.g6567.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g40394.t1,0,0,0,0,0,5,0,0
Montipora_capitata_HIv3___RNAseq.g21822.t1,0,0,4,4,9,0,0,0
Montipora_capitata_HIv3___RNAseq.g22791.t1,0,0,0,0,11,0,0,0
Montipora_capitata_HIv3___RNAseq.g18129.t1,0,0,0,0,3,11,2,0
Montipora_capitata_HIv3___RNAseq.g36193.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g40470.t1,364,474,149,142,135,84,747,476
Montipora_capitata_HIv3___RNAseq.g33099.t1,12,67,11,3,11,0,9,44
Montipora_capitata_HIv3___TS.g39217.t1,0,0,0,0,10,9,0,0
Montipora_capitata_HIv3___RNAseq.g18417.t1,25,94,72,67,74,21,0,37
Montipora_capitata_HIv3___RNAseq.g33669.t1,122,97,81,1022,702,280,353,237
Montipora_capitata_HIv3___RNAseq.g13059.t1,2,0,0,4,3,10,20,9
Montipora_capitata_HIv3___RNAseq.g38457.t1,0,0,0,4,0,9,0,0
Montipora_capitata_HIv3___RNAseq.g449.t1,0,10,0,11,12,182,313,3
Montipora_capitata_HIv3___RNAseq.g2784.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g1588.t1,0,0,0,0,2,0,0,0
Montipora_capitata_HIv3___RNAseq.g39628.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g39665.t1,0,0,0,4,0,0,3,0
Montipora_capitata_HIv3___RNAseq.g869.t1,0,0,0,0,0,10,1,0
Montipora_capitata_HIv3___RNAseq.g35231.t1,11,26,2,16,3,25,37,26
Montipora_capitata_HIv3___RNAseq.g22425.t1,0,0,0,0,0,3,0,0
Montipora_capitata_HIv3___RNAseq.g34349.t1,0,0,0,42,28,9,10,0
Montipora_capitata_HIv3___TS.g11392.t1,0,0,0,0,0,0,2,0
Montipora_capitata_HIv3___RNAseq.g6565.t1,0,0,0,0,5,0,0,0
Montipora_capitata_HIv3___RNAseq.g37868.t1,78,240,129,336,368,303,159,148
Montipora_capitata_HIv3___RNAseq.g37825.t1,0,0,0,3,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g10465.t1,147,288,144,113,213,253,176,241
Montipora_capitata_HIv3___RNAseq.g24154.t1,630,1304,338,185,343,401,541,1007
Montipora_capitata_HIv3___RNAseq.g1285.t1,0,0,0,0,37,29,11,0
Montipora_capitata_HIv3___RNAseq.g41683.t1,465,1453,2081,8128,5404,2608,1619,1371
Montipora_capitata_HIv3___RNAseq.g9816.t1,60,101,67,43,78,83,142,135
Montipora_capitata_HIv3___RNAseq.g9159.t1b,362,829,477,1124,857,308,74,726
Montipora_capitata_HIv3___RNAseq.g9159.t1a,226,716,300,87,16,74,1049,581
Montipora_capitata_HIv3___RNAseq.18202_t,0,0,7,5,46,221,329,2
Montipora_capitata_HIv3___RNAseq.g28178.t1,860,2144,1780,5637,5154,2217,1189,1755
Montipora_capitata_HIv3___RNAseq.g17688.t1,0,0,8,11,10,0,8,0
Montipora_capitata_HIv3___TS.g6013.t1,0,6,0,8,3,16,11,0
Montipora_capitata_HIv3___TS.g39027.t1,0,0,14,41,19,22,43,0
Montipora_capitata_HIv3___RNAseq.g35233.t1,59,262,25,4,55,31,29,227
Montipora_capitata_HIv3___RNAseq.g8785.t1,887,1996,623,725,585,264,152,1638
Montipora_capitata_HIv3___TS.g33689.t1,0,0,0,0,0,0,3,0
Montipora_capitata_HIv3___TS.g5898.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g23331.t1,82,135,658,1051,820,283,333,159
Montipora_capitata_HIv3___RNAseq.g16579.t1,0,0,0,0,0,6,0,0
Montipora_capitata_HIv3___RNAseq.g19158.t1,0,54,22,54,68,150,106,2
Montipora_capitata_HIv3___TS.g6555.t1,0,0,0,0,3,0,0,0
Montipora_capitata_HIv3___TS.g37335.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g31794.t1a,0,0,3,3,6,11,6,1
Montipora_capitata_HIv3___RNAseq.g31900.t1,0,0,0,0,7,8,23,0
Montipora_capitata_HIv3___TS.g31794.t1b,1232,4938,1772,3703,3695,3519,3042,3103
Montipora_capitata_HIv3___RNAseq.g21018.t1,27,81,46,128,105,89,52,87
Montipora_capitata_HIv3___RNAseq.g48305.t1,0,0,0,16,0,0,6,0
Montipora_capitata_HIv3___RNAseq.g34506.t1,372,1159,844,1379,1309,504,344,807
Montipora_capitata_HIv3___RNAseq.g10599.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g31963.t1,0,1,6,14,12,10,31,2
Montipora_capitata_HIv3___TS.g39025.t1,0,0,15,0,5,0,0,0
Montipora_capitata_HIv3___RNAseq.g47494.t1,0,1,0,1,1,2,11,0
Montipora_capitata_HIv3___RNAseq.g3573.t1,0,0,0,8,3,4,3,0
Montipora_capitata_HIv3___RNAseq.g12258.t1,7,12,32,253,288,303,351,30
Montipora_capitata_HIv3___RNAseq.g1799.t1,31,51,24,30,18,30,57,54
Montipora_capitata_HIv3___RNAseq.g44001.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g9354.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g46375.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g26278.t1,0,0,3,0,7,1,0,0
Montipora_capitata_HIv3___TS.g920.t1,0,8,16,21,22,35,31,2
Montipora_capitata_HIv3___RNAseq.g13794.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g38356.t1,0,4,0,0,16,0,4,0
Montipora_capitata_HIv3___RNAseq.g1440.t1,0,0,0,0,0,0,11,0
Montipora_capitata_HIv3___RNAseq.g24289.t1,0,3,6,0,9,64,58,0
Montipora_capitata_HIv3___RNAseq.g30934.t1,0,1,0,0,1,1,2,0
Montipora_capitata_HIv3___RNAseq.g41681.t1,1335,2270,1064,1548,1568,1380,787,2202
Montipora_capitata_HIv3___RNAseq.g7409.t1,1001,3126,4083,5897,5759,2338,1257,1610
Montipora_capitata_HIv3___RNAseq.g21738.t1,0,0,0,4,0,0,3,0
Montipora_capitata_HIv3___RNAseq.g37901.t1,0,0,0,0,8,0,0,0
Montipora_capitata_HIv3___RNAseq.g20367.t1,1,2,2,3,8,12,10,0
Montipora_capitata_HIv3___TS.g33117.t2,1254,3101,4902,15592,11394,3701,2926,2211
Montipora_capitata_HIv3___RNAseq.g30380.t1,0,5,2,0,0,0,2,0
Montipora_capitata_HIv3___RNAseq.g8842.t1,60,66,24,32,46,29,20,102
Montipora_capitata_HIv3___RNAseq.g5079.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g8787.t1,0,26,11,6,0,6,2,0
Montipora_capitata_HIv3___RNAseq.g1491.t1,0,11,15,31,40,69,85,5
Montipora_capitata_HIv3___TS.g20636.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g883.t1,0,0,0,0,0,0,0,4
Montipora_capitata_HIv3___RNAseq.g19505.t1,0,5,55,56,27,10,7,3
Montipora_capitata_HIv3___RNAseq.g18590.t1,0,0,5,34,46,47,19,0
Montipora_capitata_HIv3___RNAseq.g18654.t1,0,0,3,4,2,3,0,0
Montipora_capitata_HIv3___RNAseq.g9224.t1,65,191,150,37,19,18,23,150
Montipora_capitata_HIv3___RNAseq.g10366.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g33455.t1,1343,2988,557,387,534,405,381,2129
Montipora_capitata_HIv3___TS.g12386.t1,0,0,2,4,0,0,0,6
Montipora_capitata_HIv3___RNAseq.g47600.t1,0,0,3,3,4,7,4,0
Montipora_capitata_HIv3___RNAseq.g48633.t1,3,0,7,5,16,57,33,0
Montipora_capitata_HIv3___RNAseq.g34787.t2,9,180,184,208,170,81,61,33
Montipora_capitata_HIv3___TS.g37421.t1,0,23,37,26,76,69,73,13
Montipora_capitata_HIv3___RNAseq.g14437.t1,31,62,60,24,19,8,71,58
Montipora_capitata_HIv3___RNAseq.g39588.t1,3,5,3,0,5,16,13,0
Montipora_capitata_HIv3___RNAseq.g25139.t1,0,0,0,1,3,7,3,3
Montipora_capitata_HIv3___RNAseq.g15208.t1,0,0,0,0,0,0,3,0
Montipora_capitata_HIv3___RNAseq.g15245.t1,270,775,2215,1984,1676,1548,859,630
Montipora_capitata_HIv3___RNAseq.g10929.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g38128.t1,0,16,4,3,28,8,17,0
Montipora_capitata_HIv3___TS.g18920.t1,0,0,0,0,26,8,9,0
Montipora_capitata_HIv3___RNAseq.g16207.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g34792.t1,0,0,0,0,0,0,0,4
Montipora_capitata_HIv3___RNAseq.g18813.t1,0,0,0,0,1,2,0,0
Montipora_capitata_HIv3___RNAseq.g9226.t1,0,16,0,7,11,6,25,0
Montipora_capitata_HIv3___RNAseq.g18592.t1,2680,4895,1460,2192,1899,1233,1034,4995
Montipora_capitata_HIv3___RNAseq.g38786.t1,0,2,2,3,3,3,0,0
Montipora_capitata_HIv3___RNAseq.g21443.t1,0,0,10,12,13,24,7,0
Montipora_capitata_HIv3___RNAseq.g28038.t1,0,0,6,0,2,2,1,0
Montipora_capitata_HIv3___RNAseq.g41218.t1,50,186,157,512,382,188,40,161
Montipora_capitata_HIv3___RNAseq.g20619.t1,0,0,0,0,0,3,0,0
Montipora_capitata_HIv3___RNAseq.g19852.t1,0,0,11,6,3,31,108,0
Montipora_capitata_HIv3___RNAseq.g44265.t1,323,894,531,567,328,115,274,534
Montipora_capitata_HIv3___RNAseq.g46496.t1,0,0,2,6,4,8,1,0
Montipora_capitata_HIv3___RNAseq.g37170.t1,0,8,19,8,19,34,37,6
Montipora_capitata_HIv3___TS.g34999.t1,14745,23851,9171,8711,10188,11944,9917,22075
Montipora_capitata_HIv3___RNAseq.g29265.t1,468,1171,285,384,614,541,376,1160
Montipora_capitata_HIv3___RNAseq.g2835.t1,0,0,0,0,5,19,17,0
Montipora_capitata_HIv3___RNAseq.g16205.t1,0,2,2,1,15,5,9,0
Montipora_capitata_HIv3___RNAseq.g49147.t1,0,0,0,4,1,4,0,0
Montipora_capitata_HIv3___TS.g26822.t1,141,329,181,184,251,455,224,209
Montipora_capitata_HIv3___RNAseq.g27912.t1,344,1224,279,421,479,362,186,615
Montipora_capitata_HIv3___RNAseq.g1322.t1,0,4,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g42023.t1,375,1203,736,1680,1814,1921,2081,685
Montipora_capitata_HIv3___TS.g22915.t1,0,0,0,10,21,9,5,0
Montipora_capitata_HIv3___RNAseq.g8840.t1,210,297,146,249,278,188,88,356
Montipora_capitata_HIv3___TS.g39990.t1,0,15,69,124,150,109,38,10
Montipora_capitata_HIv3___RNAseq.g43507.t1,0,0,0,0,0,0,7,0
Montipora_capitata_HIv3___TS.g49912.t2,0,4,5,13,23,14,0,0
Montipora_capitata_HIv3___RNAseq.g11093.t1,0,0,4,0,3,2,2,0
Montipora_capitata_HIv3___RNAseq.g46494.t1,0,1,3,6,5,6,5,0
Montipora_capitata_HIv3___TS.g2350.t1,149,387,70,25,46,34,25,287
Montipora_capitata_HIv3___TS.g17137.t1,0,0,0,0,0,9,0,2
Montipora_capitata_HIv3___RNAseq.g1590.t1,0,0,0,1,8,11,2,2
Montipora_capitata_HIv3___TS.g13163.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g36720.t1,0,0,0,0,3,0,0,0
Montipora_capitata_HIv3___TS.g26258.t1,0,0,0,0,8,10,6,0
Montipora_capitata_HIv3___RNAseq.g19324.t1,4384,9840,9942,29020,26094,11669,5784,5978
Montipora_capitata_HIv3___RNAseq.g49812.t1,0,0,2,54,135,32,20,0
Montipora_capitata_HIv3___RNAseq.g9399.t1,57,176,59,834,1032,782,369,141
Montipora_capitata_HIv3___RNAseq.g12661.t1,1992,5381,1400,2923,2516,925,769,2181
Montipora_capitata_HIv3___RNAseq.g18983.t1,1,0,0,1,0,4,3,0
Montipora_capitata_HIv3___RNAseq.g18305.t1,0,2,0,0,2,9,13,0
Montipora_capitata_HIv3___RNAseq.g2355.t1,0,9,25,10,26,19,27,0
Montipora_capitata_HIv3___RNAseq.g2715.t1,4,9,7,65,112,216,418,12
Montipora_capitata_HIv3___RNAseq.g50208.t1,6,13,66,167,204,359,452,12
Montipora_capitata_HIv3___TS.g33457.t1,0,0,0,5,12,13,11,0
Montipora_capitata_HIv3___RNAseq.g11091.t1,0,0,0,2,0,3,0,0
Montipora_capitata_HIv3___RNAseq.g10252.t1,172,445,441,554,715,376,145,338
Montipora_capitata_HIv3___RNAseq.g43505.t1,0,0,0,9,0,5,0,0
Montipora_capitata_HIv3___RNAseq.g38197.t1,0,0,0,5,10,2,4,0
Montipora_capitata_HIv3___RNAseq.g38784.t1,0,0,0,0,0,2,5,0
Montipora_capitata_HIv3___RNAseq.g37740.t1,0,0,0,7,0,3,0,2
Montipora_capitata_HIv3___RNAseq.g16162.t1,0,0,0,0,0,9,0,0
Montipora_capitata_HIv3___RNAseq.g41163.t2,61,107,113,646,728,633,966,74
Montipora_capitata_HIv3___RNAseq.g39873.t1,44,89,135,770,694,382,157,65
Montipora_capitata_HIv3___RNAseq.g39614.t2,253,832,560,515,501,825,1056,492
Montipora_capitata_HIv3___TS.g15282.t1,0,0,53,13,28,169,259,13
Montipora_capitata_HIv3___RNAseq.g44353.t2,0,18,106,1229,1330,1176,1884,0
Montipora_capitata_HIv3___RNAseq.g25482.t1,0,0,1,3,0,0,10,0
Montipora_capitata_HIv3___RNAseq.g23491.t1,0,8,0,15,15,604,3635,0
Montipora_capitata_HIv3___RNAseq.g30197.t1,1254,3374,1381,835,811,360,218,2898
Montipora_capitata_HIv3___RNAseq.g2717.t1,87,93,64,12,6,12,45,116
Montipora_capitata_HIv3___TS.g29678.t1,0,0,0,7,2,0,3,0
Montipora_capitata_HIv3___RNAseq.g49810.t1,0,0,6,0,7,4,6,0
Montipora_capitata_HIv3___RNAseq.g14818.t1,1370,3266,1362,1573,1557,921,577,3004
Montipora_capitata_HIv3___TS.g13853.t1,13,37,267,352,316,235,510,36
Montipora_capitata_HIv3___RNAseq.g27910.t1,204,420,116,350,217,111,65,469
Montipora_capitata_HIv3___RNAseq.g39082.t1,0,2,21,57,28,26,6,0
Montipora_capitata_HIv3___RNAseq.g25309.t1,0,0,0,0,0,0,3,0
Montipora_capitata_HIv3___RNAseq.g4184.t1,0,0,2,14,3,11,4,0
Montipora_capitata_HIv3___RNAseq.g2928.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g25480.t1,0,0,0,5,9,15,12,0
Montipora_capitata_HIv3___RNAseq.g23299.t1,35,197,22,54,55,59,18,73
Montipora_capitata_HIv3___RNAseq.g40139.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g36755.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g45600.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g29342.t1,0,0,0,0,0,3,0,0
Montipora_capitata_HIv3___RNAseq.g12663.t1,56,69,28,117,118,65,92,71
Montipora_capitata_HIv3___RNAseq.g2279.t1,0,0,0,5,0,0,7,0
Montipora_capitata_HIv3___TS.g14516.t1,0,0,0,13,61,870,1362,0
Montipora_capitata_HIv3___RNAseq.g17007.t1,0,0,0,3,0,6,0,0
Montipora_capitata_HIv3___RNAseq.g24431.t1,0,4,5,20,25,18,18,0
Montipora_capitata_HIv3___TS.g47000.t1a,0,3,24,19,19,22,34,2
Montipora_capitata_HIv3___TS.g47000.t1b,2,0,0,17,25,0,0,0
Montipora_capitata_HIv3___TS.g17306.t1,0,0,0,4,0,13,3,0
Montipora_capitata_HIv3___RNAseq.g38195.t1,0,0,0,4,0,0,1,4
Montipora_capitata_HIv3___RNAseq.g12819.t1,281,541,461,870,759,447,317,803
Montipora_capitata_HIv3___TS.g35423.t1,0,3,4,7,3,12,0,0
Montipora_capitata_HIv3___TS.g13851.t1,26,69,44,14,33,82,180,80
Montipora_capitata_HIv3___TS.g41302.t1,0,1,1,0,3,1,0,0
Montipora_capitata_HIv3___RNAseq.g10250.t1,241,665,523,1290,1002,473,157,424
Montipora_capitata_HIv3___RNAseq.g41643.t1,1598,3449,401,72,102,118,145,3457
Montipora_capitata_HIv3___RNAseq.g34945.t1,1507,2331,1620,2784,2978,1296,785,2300
Montipora_capitata_HIv3___RNAseq.g38474.t1,1891,5753,1390,1511,2053,2624,1679,3383
Montipora_capitata_HIv3___RNAseq.g29416.t1,0,0,9,5,15,16,7,5
Montipora_capitata_HIv3___RNAseq.g35819.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g49888.t1,0,6,0,0,5,20,24,0
Montipora_capitata_HIv3___RNAseq.g38176.t1,0,0,0,0,0,4,14,0
Montipora_capitata_HIv3___RNAseq.18953_t,0,0,0,0,8,0,0,0
Montipora_capitata_HIv3___TS.g8204.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g28186.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g21904.t1,0,11,18,9,12,19,12,0
Montipora_capitata_HIv3___RNAseq.g39080.t1,0,0,0,17,4,16,0,0
Montipora_capitata_HIv3___RNAseq.g32681.t1,0,0,13,0,7,7,0,0
Montipora_capitata_HIv3___RNAseq.g7553.t1,11,0,8,9,27,26,63,24
Montipora_capitata_HIv3___TS.g40303.t1,0,43,8,4,4,0,0,0
Montipora_capitata_HIv3___RNAseq.g48249.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g1267.t1,0,3,0,3,0,0,2,0
Montipora_capitata_HIv3___RNAseq.g49222.t1,0,0,2,0,1,19,0,0
Montipora_capitata_HIv3___RNAseq.g43204.t1,0,1,16,10,13,44,22,0
Montipora_capitata_HIv3___RNAseq.g20281.t1,3,8,6,11,5,14,0,20
Montipora_capitata_HIv3___RNAseq.g1875.t1,0,3,1,39,13,47,31,0
Montipora_capitata_HIv3___RNAseq.g17198.t1,0,0,2,0,2,5,0,0
Montipora_capitata_HIv3___TS.g23560.t1,62,66,43,15,52,31,35,70
Montipora_capitata_HIv3___RNAseq.g15082.t1,0,0,0,0,14,21,6,0
Montipora_capitata_HIv3___RNAseq.g26425.t1,8,9,6,15,41,12,35,8
Montipora_capitata_HIv3___RNAseq.g42473.t1,0,0,0,0,2,0,0,0
Montipora_capitata_HIv3___TS.g28358.t1,0,0,0,0,8,12,0,0
Montipora_capitata_HIv3___RNAseq.g36376.t1,0,0,0,0,0,4,0,0
Montipora_capitata_HIv3___RNAseq.g45109.t1,3,2,0,19,5,9,32,2
Montipora_capitata_HIv3___RNAseq.g36528.t1,0,0,0,0,0,0,1,0
Montipora_capitata_HIv3___TS.g38294.t1,4477,9305,3878,4657,3620,1645,929,7398
Montipora_capitata_HIv3___RNAseq.g2088.t1,0,0,3,0,0,0,4,0
Montipora_capitata_HIv3___TS.g44833.t1,304,646,307,528,469,337,278,495
Montipora_capitata_HIv3___RNAseq.g17420.t1,0,0,0,0,0,8,0,0
Montipora_capitata_HIv3___RNAseq.g11108.t1,0,0,0,0,5,3,2,0
Montipora_capitata_HIv3___RNAseq.g24433.t1,925,3698,2509,6157,7229,5544,4287,1864
Montipora_capitata_HIv3___RNAseq.g22547.t1,0,0,0,7,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g50332.t1,0,11,15,23,31,12,7,3
Montipora_capitata_HIv3___RNAseq.g1644.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g48803.t1,0,0,5,6,5,12,11,0
Montipora_capitata_HIv3___RNAseq.g41385.t1,3547,7025,8567,20984,19642,5752,1768,6345
Montipora_capitata_HIv3___TS.g33918.t1,0,5,0,0,0,9,0,0
Montipora_capitata_HIv3___RNAseq.g83.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g44437.t1,0,2,3,2,4,4,5,1
Montipora_capitata_HIv3___RNAseq.g6772.t1,0,0,0,0,1,2,5,1
Montipora_capitata_HIv3___RNAseq.g4578.t2,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g46858.t1,1059,2086,1240,636,802,723,297,1841
Montipora_capitata_HIv3___RNAseq.g610.t1,487,1878,2581,10349,12146,10293,9987,830
Montipora_capitata_HIv3___RNAseq.g17437.t1,0,0,0,0,0,3,4,0
Montipora_capitata_HIv3___RNAseq.g47993.t1,306,369,119,242,429,419,373,513
Montipora_capitata_HIv3___TS.g7511.t1,0,0,0,0,0,0,7,0
Montipora_capitata_HIv3___RNAseq.g21293.t1,2636,5937,2298,4515,4729,2851,3118,4861
Montipora_capitata_HIv3___RNAseq.g35304.t1b,15,37,8,69,167,165,51,2
Montipora_capitata_HIv3___RNAseq.g37505.t1,96,133,374,1077,1282,1592,963,89
Montipora_capitata_HIv3___TS.g11309.t1,2045,3161,920,1269,1311,1237,935,3176
Montipora_capitata_HIv3___RNAseq.g43206.t1,114,252,65,96,97,116,72,188
Montipora_capitata_HIv3___RNAseq.g8537.t1,29,121,0,0,0,6,0,71
Montipora_capitata_HIv3___RNAseq.g40953.t1,0,0,0,20,31,79,117,2
Montipora_capitata_HIv3___TS.g23306.t2,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g50709.t1,6,7,0,0,9,0,0,0
Montipora_capitata_HIv3___TS.g36252.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g11407.t1,0,9,3,3,2,8,0,0
Montipora_capitata_HIv3___RNAseq.g39620.t1,0,29,19,61,59,108,86,24
Montipora_capitata_HIv3___RNAseq.g24879.t1,5,4,1,12,14,4,4,0
Montipora_capitata_HIv3___RNAseq.g46068.t1,0,31,87,19,54,37,39,0
Montipora_capitata_HIv3___RNAseq.g5499.t1,0,0,0,8,6,17,2,0
Montipora_capitata_HIv3___RNAseq.g269.t1,0,0,0,3,0,0,0,0
Montipora_capitata_HIv3___TS.g20737.t2,1135,1685,977,5437,4920,4707,5020,3348
Montipora_capitata_HIv3___RNAseq.g11053.t1,36,147264,49350,2902,2147,235,27,2
Montipora_capitata_HIv3___TS.g9301.t1,0,2,0,3,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g27644.t1,0,0,13,15,3,0,5,0
Montipora_capitata_HIv3___RNAseq.g31208.t1,0,0,9,15,11,6,6,0
Montipora_capitata_HIv3___RNAseq.g45048.t1,0,2,16,33,28,25,16,0
Montipora_capitata_HIv3___RNAseq.g16959.t1,0,0,0,0,0,0,3,0
Montipora_capitata_HIv3___TS.g22445.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g7803.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g38378.t1,0,0,11,0,18,15,12,0
Montipora_capitata_HIv3___RNAseq.g48777.t1,0,0,0,0,4,12,12,0
Montipora_capitata_HIv3___RNAseq.g7372.t1,0,54,50,24,5,24,45,45
Montipora_capitata_HIv3___RNAseq.g43789.t1,0,0,3,5,2,3,0,0
Montipora_capitata_HIv3___RNAseq.g36673.t1,0,5,2,10,0,21,0,0
Montipora_capitata_HIv3___RNAseq.g17165.t1,0,3,0,0,0,1,0,0
Montipora_capitata_HIv3___RNAseq.g5458.t1,0,0,0,3,0,58,179,0
Montipora_capitata_HIv3___TS.g33420.t1,0,2,0,1,0,2,4,0
Montipora_capitata_HIv3___TS.g34875.t1,9,0,0,3,0,7,3,5
Montipora_capitata_HIv3___RNAseq.g40378.t1,79,164,76,111,107,71,100,101
Montipora_capitata_HIv3___RNAseq.g30413.t1,21,50,2,20,78,54,42,58
Montipora_capitata_HIv3___RNAseq.g2785.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g13078.t1,77,255,61,62,53,89,42,96
Montipora_capitata_HIv3___RNAseq.g41261.t1,1920,4217,18332,86555,80984,38265,40555,4488
Montipora_capitata_HIv3___RNAseq.g21503.t1,0,0,0,3,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g36169.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g1550.t1,0,0,0,0,0,23,0,0
Montipora_capitata_HIv3___RNAseq.g33489.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g49540.t1,3157,13642,7859,3599,2826,1969,1864,9452
Montipora_capitata_HIv3___RNAseq.g5493.t1,181,431,415,2140,1836,646,368,485
Montipora_capitata_HIv3___RNAseq.g21082.t1,4,0,0,10,0,6,6,2
Montipora_capitata_HIv3___RNAseq.g38772.t1,0,0,0,0,3,4,0,0
Montipora_capitata_HIv3___TS.g48161.t2,1898,3037,2341,3266,3345,2392,1678,3048
Montipora_capitata_HIv3___TS.g18601.t1,11122,19268,13925,16017,10725,3462,1639,21468
