"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"Montipora_capitata_HIv3___TS.g50556.t1",39.3790193049504,1.76355591786729,0.511405235671806,23.9015994116975,0.00118562050073887,0.00170544157434974,"Up at 22 hpf"
"Montipora_capitata_HIv3___TS.g32692.t2",866.730306030907,-3.33584958614186,0.250259963967406,484.985303010808,1.35341735485483e-100,4.72269718184494e-99,"Up at 1 hpf"
"Montipora_capitata_HIv3___TS.g31817.t2",93.417627017287,-1.29423221841715,0.339276028839777,53.3211081827205,3.20346510987856e-09,7.38269104694547e-09,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g18422.t1",70.4658648236074,10.5746575080882,1.23192033176674,169.068176491367,3.94634935764051e-33,2.40453327548247e-32,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g3705.t1",5.62439400350913,5.51166400434915,1.57279539618227,28.6862816818326,0.000165036475804307,0.000261340641060331,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g25554.t1",25.2997286294532,6.26748375358504,0.925467029235231,75.9379558909684,9.2479215577242e-14,2.72288490731013e-13,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g47594.t1",104.526033866271,-1.56757250876972,0.32153853347851,69.4658705966932,1.89415935416403e-12,5.21843051269642e-12,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g27249.t1",1591.24424993184,-1.62430020932508,0.197306602343143,377.030771942227,2.00154706994291e-77,3.97268916736557e-76,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g40578.t1",38.5155269785857,2.8961707367717,0.573544072260649,39.9931383973635,1.26260242109578e-06,2.41870129805837e-06,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g42911.t1",11.0714048255615,5.57812302356887,1.39755714993126,24.1024134048341,0.00109307115636254,0.00158011581082235,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g31750.t1",5.61409318990393,6.90253977892559,1.89671505640088,21.9412199232782,0.00260036627814778,0.00359702953240589,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g13395.t1",18.1245640879725,8.1950057636591,1.26821233742646,54.2631351231926,2.0862109428602e-09,4.86754710458982e-09,"Up at 22 hpf"
"Montipora_capitata_HIv3___TS.g46670.t1",2268.31575065878,-2.30070361366607,0.208223203698752,462.965799374546,7.28904152624229e-96,2.29849353842123e-94,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g21428.t1",27.2736879519515,3.77026812813917,0.644348463532671,110.043471391206,8.99373126072667e-21,3.55853269614059e-20,"Up at 22 hpf"
"Montipora_capitata_HIv3___TS.g10279.t1",14.7678286508941,7.01776168147519,1.52734299507823,38.9584135301387,1.99050160307523e-06,3.75242489592064e-06,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g19074.t1",16.5602584618573,8.87563882024546,1.85672169158585,20.8396479137245,0.00401487099257791,0.0054257812100201,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g22877.t1",10.2298919072286,4.10974388056092,1.03836215642282,36.277073740464,6.42664179540661e-06,1.15673994312307e-05,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g13893.t1",9.5416646918554,7.9643132375296,1.85195015421412,20.1508514580638,0.00525289967196378,0.00699770198162073,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.3253_t",19.242048297599,6.93173598054943,1.4242042839623,25.9943076199594,0.000504849491381873,0.000759254652131395,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g23865.t1",33.8828585164843,2.0866678426433,1.06243663605744,36.6482337434358,5.46791421166208e-06,9.90664198390735e-06,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g374.t1",193.424783222062,-1.14797387182237,0.213114480778928,122.437626736132,2.3792861829583e-23,1.03718224884584e-22,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g34319.t1",71.6246339247863,7.89088201159842,1.52001127691838,107.91056506357,2.49021643145778e-20,9.67561490377187e-20,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g35092.t1",11.4803032330317,8.64586629898009,2.51482801771828,16.3280583949255,0.0222824689460251,0.0273412068424297,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g15791.t1",177.91193733834,2.88410610114825,0.386697973460928,283.275530376625,2.24672734246941e-57,2.63220323994898e-56,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g6635.t1",39.2979603893758,3.48510748938576,0.669149493454221,102.238241433313,3.71934110557554e-19,1.38086699532562e-18,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g8714.t1",3470.22156482823,2.26077203519746,0.181391921450181,297.931755214335,1.67256334462617e-60,2.14213090867572e-59,"Up at 22 hpf"
"Montipora_capitata_HIv3___TS.g31568.t1",26.4926081223649,3.98770231809774,1.17841693305259,33.0740265872938,2.56488251424957e-05,4.38059682401464e-05,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g2382.t2",11.7053121902132,6.39038207432264,1.73209078555895,23.0000437569948,0.00170457812659129,0.00240911393454067,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g45700.t1",35.0875564780737,5.3890842728071,0.940033566596896,61.8874889161679,6.33135027844509e-11,1.61255728201971e-10,"Up at 22 hpf"
"Montipora_capitata_HIv3___TS.g31342.t1",26.6615599902046,8.55407344696137,1.08557022059908,254.761949166847,2.68454465562819e-51,2.69258442791872e-50,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g45680.t1",10.5088972430754,4.31137737489171,0.940782773608939,39.4164062164266,1.62757265931889e-06,3.08760886610942e-06,"Up at 22 hpf"
